% LogFile created by the 'GetSensorData' App for Android.
% Date of creation: Sat Feb 02 15:40:41 GMT+08:00 2019
% Developed by LOPSI research group at CAR-CSIC, Spain (http://www.car.upm-csic.es/lopsi)
% Version 1.0 (development from 2013 to 2016)
% The 'GetSensorData' program stores information from Smartphone/Tablet internal sensors (Accelerometers, Gyroscopes, Magnetometers, Pressure, Ambient Light, Orientation, Sound level, GPS/GNSS positio, WiFi RSS, Cellular/GSM/3G signal strength,...) and also from external devices (e.g. RFCode RFID reader, XSens IMU or LPMS-B IMU)
%
% LogFile Data format:
% Accelerometer data: 	'ACCE;AppTimestamp(s);SensorTimestamp(s);Acc_X(m/s^2);Acc_Y(m/s^2);Acc_Z(m/s^2);Accuracy(integer)'
% Gyroscope data:     	'GYRO;AppTimestamp(s);SensorTimestamp(s);Gyr_X(rad/s);Gyr_Y(rad/s);Gyr_Z(rad/s);Accuracy(integer)'
% Magnetometer data:  	'MAGN;AppTimestamp(s);SensorTimestamp(s);Mag_X(uT);;Mag_Y(uT);Mag_Z(uT);Accuracy(integer)'
% Pressure data:      	'PRES;AppTimestamp(s);SensorTimestamp(s);Pres(mbar);Accuracy(integer)'
% Light data:         	'LIGH;AppTimestamp(s);SensorTimestamp(s);Light(lux);Accuracy(integer)'
% Proximity data:     	'PROX;AppTimestamp(s);SensorTimestamp(s);prox(?);Accuracy(integer)'
% Humidity data:      	'HUMI;AppTimestamp(s);SensorTimestamp(s);humi(Percentage);Accuracy(integer)'
% Temperature data:   	'TEMP;AppTimestamp(s);SensorTimestamp(s);temp(Celsius);Accuracy(integer)'
% Orientation data:   	'AHRS;AppTimestamp(s);SensorTimestamp(s);PitchX(deg);RollY(deg);YawZ(deg);RotVecX();RotVecY();RotVecZ();Accuracy(int)'
% GNSS/GPS data:      	'GNSS;AppTimestamp(s);SensorTimeStamp(s);Latit(deg);Long(deg);Altitude(m);Bearing(deg);Accuracy(m);Speed(m/s);SatInView;SatInUse'
% WIFI data:          	'WIFI;AppTimestamp(s);SensorTimeStamp(s);Name_SSID;MAC_BSSID;RSS(dBm);'
% Bluetooth data:     	'BLUE;AppTimestamp(s);Name;MAC_Address;RSS(dBm);'
% Sound data:         	'SOUN;AppTimestamp(s);RMS;Pressure(Pa);SPL(dB);'
% RFID Reader data:   	'RFID;AppTimestamp(s);ReaderNumber(int);TagID(int);RSS_A(dBm);RSS_B(dBm);'
% IMU XSens data:     	'IMUX;AppTimestamp(s);SensorTimestamp(s);Counter;Acc_X(m/s^2);Acc_Y(m/s^2);Acc_Z(m/s^2);Gyr_X(rad/s);Gyr_Y(rad/s);Gyr_Z(rad/s);Mag_X(uT);;Mag_Y(uT);Mag_Z(uT);Roll(deg);Pitch(deg);Yaw(deg);Quat(1);Quat(2);Quat(3);Quat(4);Pressure(mbar);Temp(Celsius)'
% IMU LPMS-B data:    	'IMUL;AppTimestamp(s);SensorTimestamp(s);Counter;Acc_X(m/s^2);Acc_Y(m/s^2);Acc_Z(m/s^2);Gyr_X(rad/s);Gyr_Y(rad/s);Gyr_Z(rad/s);Mag_X(uT);;Mag_Y(uT);Mag_Z(uT);Roll(deg);Pitch(deg);Yaw(deg);Quat(1);Quat(2);Quat(3);Quat(4);Pressure(mbar);Temp(Celsius)'
% POSI Reference:    		'POSI;Timestamp(s);Counter;Latitude(degrees); Longitude(degrees);floor ID(0,1,2..4);Building ID(0,1,2..3);'
% 
% Note that there are two timestamps: 
%  -'AppTimestamp' is set by the Android App as data is read. It is not representative of when data is actually captured by the sensor (but has a common time reference for all sensors)
%  -'SensorTimestamp' is set by the sensor itself (the delta_time=SensorTimestamp(k)-SensorTimestamp(k-1) between two consecutive samples is an accurate estimate of the sampling interval). This timestamp is better for integrating inertial data. 

MAGN;0.128;1696.065;-6.81250;-40.81250;-16.81250;3
ACCE;0.129;1696.063;0.24419;5.36928;7.89157;3
GYRO;0.129;1696.061;-0.12170;-0.05358;0.05191;3
AHRS;0.130;1696.063;32.3115;0.1735;-162.5871;-0.04356;0.27482;0.94937;3
MAGN;0.130;1696.085;-6.81250;-40.75000;-16.81250;3
ACCE;0.131;1696.083;0.34864;5.37157;8.42073;3
GYRO;0.131;1696.082;-0.07735;0.19932;0.04379;3
AHRS;0.131;1696.083;32.1661;0.0700;-162.5138;-0.04269;0.27372;0.94967;3
PRES;0.131;1696.085;1006.3677;3
MAGN;0.131;1696.105;-6.87500;-40.68750;-16.87500;3
ACCE;0.131;1696.102;0.20469;5.35283;8.47606;3
GYRO;0.132;1696.101;0.00234;0.17816;0.03091;3
AHRS;0.132;1696.102;32.0872;0.2474;-162.4609;-0.04419;0.27282;0.94972;3
MAGN;0.132;1696.125;-6.81250;-40.68750;-17.00000;3
ACCE;0.132;1696.123;0.14936;5.41652;7.99556;3
GYRO;0.132;1696.121;-0.03515;0.01295;0.02487;3
AHRS;0.132;1696.123;32.0910;0.4480;-162.4156;-0.04596;0.27258;0.94958;3
MAGN;0.132;1696.145;-6.75000;-40.62500;-16.93750;3
ACCE;0.133;1696.142;0.12213;5.44715;7.98967;3
GYRO;0.133;1696.141;-0.08597;-0.02967;0.04882;3
AHRS;0.133;1696.142;32.0541;0.4454;-162.3840;-0.04597;0.27226;0.94963;3
MAGN;0.133;1696.165;-6.81250;-40.50000;-17.12500;3
ACCE;0.133;1696.163;0.22839;5.42172;8.16416;3
GYRO;0.133;1696.161;-0.08601;0.05234;0.07206;3
AHRS;0.134;1696.163;31.9520;0.3728;-162.3146;-0.04540;0.27148;0.94981;3
MAGN;0.134;1696.185;-6.87500;-40.50000;-17.18750;3
ACCE;0.134;1696.183;0.31560;5.28486;8.16534;3
GYRO;0.134;1696.181;-0.06637;0.04683;0.05892;3
AHRS;0.134;1696.183;31.8598;0.3809;-162.2222;-0.04557;0.27067;0.94990;3
MAGN;0.134;1696.205;-6.81250;-40.50000;-17.25000;3
ACCE;0.141;1696.203;0.31628;5.24639;8.17903;3
GYRO;0.141;1696.201;-0.07238;-0.00101;0.02395;3
AHRS;0.142;1696.203;31.7815;0.3933;-162.1389;-0.04577;0.26997;0.94997;3
SOUN;0.143;1333.06;0.04068;66.17
WIFI;0.143;1692.419;Ochirly;84:82:f4:2e:7c:05;-85
WIFI;0.143;1692.419;bmp;58:66:ba:2b:c9:d2;-72
WIFI;0.143;1692.419;Mobile;58:66:ba:2b:c9:d0;-72
WIFI;0.143;1692.419;CostaCoffee Free WiFi;c4:01:7c:39:96:f8;-75
WIFI;0.143;1692.419;Modern Free;3c:f5:cc:83:21:33;-84
WIFI;0.143;1692.419;海淀无线网;00:34:cb:68:e4:c0;-61
WIFI;0.143;1692.419;Modern Free;74:85:c4:09:38:d3;-81
WIFI;0.143;1692.419;Modern Free;3c:f5:cc:83:20:33;-59
WIFI;0.143;1692.419;guest;3c:f5:cc:83:20:31;-59
WIFI;0.143;1692.419;4G UFI_6B3;00:90:4c:0d:96:b3;-63
WIFI;0.143;1692.419;bmp;00:23:89:19:b4:32;-67
WIFI;0.143;1692.419;guest;00:23:89:19:b4:31;-67
WIFI;0.143;1692.419;bmp;74:85:c4:09:6b:b2;-60
WIFI;0.143;1692.419;guest;74:85:c4:09:6b:b1;-56
WIFI;0.143;1692.419;Mobile;74:85:c4:09:6b:b0;-60
WIFI;0.143;1692.419;guest;58:66:ba:2b:c9:d1;-71
WIFI;0.143;1692.419;IN SPACE;bc:46:99:5a:b5:2e;-53
WIFI;0.143;1692.419;bmp;3c:f5:cc:83:20:32;-58
WIFI;0.143;1692.419;Mobile;3c:f5:cc:83:20:30;-59
WIFI;0.143;1692.419;guest;3c:f5:cc:82:f0:11;-82
WIFI;0.143;1692.419;TP-LINK_67B4;0c:4b:54:e0:67:b4;-69
WIFI;0.143;1692.419;Modern Free;00:23:89:19:b4:33;-67
WIFI;0.143;1692.419;;e4:be:ed:24:b3:19;-79
WIFI;0.143;1692.419;pgolay;e4:be:ed:24:b3:18;-82
WIFI;0.143;1692.419;CMCC-WEB;e4:95:6e:40:d5:e6;-67
WIFI;0.143;1692.419;ChinaNet;e4:95:6e:40:d5:e6;-69
WIFI;0.143;1692.419;Modern Free;50:da:00:df:99:f3;-82
WIFI;0.143;1692.419;bmp;50:da:00:df:99:f2;-82
WIFI;0.143;1692.419;guest;50:da:00:df:99:f1;-82
WIFI;0.143;1692.419;Mobile;50:da:00:df:99:f0;-82
WIFI;0.143;1692.419;Modern Free;00:23:89:a7:63:83;-77
WIFI;0.143;1692.419;bmp;00:23:89:a7:63:82;-77
WIFI;0.143;1692.419;guest;00:23:89:a7:63:81;-77
WIFI;0.143;1692.419;Mobile;00:23:89:a7:63:80;-77
WIFI;0.143;1692.419;guest;00:23:89:de:a7:11;-42
WIFI;0.143;1692.419;Modern Free;00:23:89:19:b4:23;-89
WIFI;0.143;1692.419;bmp;00:23:89:19:b4:22;-90
WIFI;0.143;1692.419;guest;00:23:89:19:b4:21;-90
WIFI;0.143;1692.419;Mobile;00:23:89:19:b4:20;-89
WIFI;0.143;1692.419;maancoffee;e4:95:6e:40:d5:e6;-68
WIFI;0.143;1692.419;ChinaUnicom;e4:95:6e:40:d5:e6;-66
WIFI;0.143;1692.419;Modern Free;00:23:89:de:a7:13;-41
WIFI;0.143;1692.419;Modern Free;74:85:c4:09:4a:43;-88
WIFI;0.143;1692.419;bmp;74:85:c4:09:4a:42;-85
WIFI;0.143;1692.419;guest;74:85:c4:09:4a:41;-87
WIFI;0.143;1692.419;Mobile;74:85:c4:09:4a:40;-87
WIFI;0.143;1692.419;Modern Free;00:23:89:a7:46:63;-79
WIFI;0.143;1692.419;bmp;00:23:89:a7:46:62;-79
WIFI;0.143;1692.419;guest;ac:74:09:25:de:41;-83
WIFI;0.143;1692.419;guest;00:23:89:a7:46:61;-79
WIFI;0.143;1692.419;Mobile;00:23:89:a7:46:60;-79
WIFI;0.143;1692.419;WiFi-70;00:87:46:13:db:70;-61
WIFI;0.143;1692.419;Modern Free;58:66:ba:2b:ca:d3;-57
WIFI;0.143;1692.419;bmp;58:66:ba:2b:ca:d2;-58
WIFI;0.143;1692.419;guest;58:66:ba:2b:ca:d1;-55
WIFI;0.143;1692.419;Mobile;58:66:ba:2b:ca:d0;-55
WIFI;0.143;1692.419;Modern Free;58:66:ba:2b:ca:c3;-67
WIFI;0.143;1692.419;bmp;58:66:ba:2b:ca:c2;-67
WIFI;0.143;1692.419;guest;58:66:ba:2b:ca:c1;-67
WIFI;0.143;1692.419;Mobile;58:66:ba:2b:ca:c0;-67
WIFI;0.143;1692.419;Modern Free;ac:74:09:25:ff:a3;-61
WIFI;0.143;1692.419;guest;ac:74:09:25:ff:a1;-66
WIFI;0.143;1692.419;Mobile;ac:74:09:25:ff:a0;-65
WIFI;0.143;1692.419;E+;24:05:0f:2b:12:28;-67
WIFI;0.143;1692.419;海淀无线网;00:34:cb:b8:f5:ef;-77
WIFI;0.143;1692.419;Modern Free;3c:f5:cc:83:20:23;-70
WIFI;0.143;1692.419;bmp;3c:f5:cc:83:20:22;-69
WIFI;0.143;1692.419;guest;3c:f5:cc:83:20:21;-70
WIFI;0.143;1692.419;Mobile;3c:f5:cc:83:20:20;-70
WIFI;0.143;1692.419;bmp;00:23:89:de:a7:12;-44
WIFI;0.143;1692.419;Mobile;00:23:89:de:a7:10;-43
WIFI;0.143;1692.419;bmp;ac:74:09:25:ff:a2;-60
WIFI;0.143;1692.419;bmp;58:66:ba:2b:c9:92;-80
WIFI;0.143;1692.418;guest;58:66:ba:2b:c9:91;-83
WIFI;0.143;1692.418;Mobile;58:66:ba:2b:c9:90;-80
WIFI;0.143;1692.418;Modern Free;50:da:00:df:83:c3;-89
WIFI;0.143;1692.418;bmp;50:da:00:df:83:c2;-89
WIFI;0.143;1692.418;guest;50:da:00:df:83:c1;-90
WIFI;0.143;1692.418;Mobile;50:da:00:df:83:c0;-90
WIFI;0.143;1692.418;CovenGarden;04:8d:38:62:1b:70;-78
WIFI;0.143;1692.418;Modern Free;ac:74:09:25:ff:93;-69
WIFI;0.143;1692.418;bmp;ac:74:09:25:ff:92;-69
WIFI;0.143;1692.418;guest;ac:74:09:25:ff:91;-69
WIFI;0.143;1692.418;Mobile;ac:74:09:25:ff:90;-70
WIFI;0.143;1692.418;Modern Free;58:66:ba:2b:c9:93;-68
